name,conferenceName,language,type,year,title,description,link
Андрей Листочкин,JavaScript fwdays,russian,,2016,Bots. You may not need a UI,,https://youtu.be/R_EulCnzr8E
Umar Hansa,JavaScript fwdays,english,,2016,DevTools an Animated Journey,,https://youtu.be/anQsp5zDN7w
Michael North,JavaScript fwdays,english,,2016,"Ember.js 2 - Future-friendly ambitious apps, that scale!",,https://youtu.be/S2-ScXk0LoY
Евгений Сафронов,JavaScript fwdays,russian,,2016,Angular 2. Quickstart,,https://youtu.be/bmSJlDCb7Qg
Алексей Косинский,JavaScript fwdays,russian,,2016,ES6 - Just Do It,,https://youtu.be/hvBb-byDKao
Алексей Швайка,JavaScript fwdays,russian,,2016,Bundling: you are doing it wrong,,https://youtu.be/6ys-MZsfCXI
Никита Галкин,JavaScript fwdays,russian,,2016,Spec driven development in Microservices,,https://youtu.be/3yCwFly5jyM
Михаил Бондарчук,JavaScript fwdays,russian,,2016,Acceptance Testing in NodeJS: Tools & Approaches,,https://youtu.be/N7OeUh6a3cs
Елена Жукова,JavaScript fwdays,russian,,2016,Native JavaScript на мобильных устройствах,,https://youtu.be/BR_NVjBF0bk
Денис Яремов,JavaScript fwdays,russian,,2016,Offline-first приложение на Reflex,,https://youtu.be/3tctuhfHg28
Максим Климишин,JavaScript fwdays,russian,,2016,Борьба с асинхронностью в JS,,https://youtu.be/TTBbmtg-hEU
Тарас Товченко,JavaScript fwdays,russian,,2014,Making games using JavaScript and Cocos2d,,https://youtu.be/xDKSp1l5RR4
Тимур Шемсединов,JavaScript fwdays,russian,,2014,Примеры быстрой разработки API на масштабируемом сервера приложений,,https://youtu.be/f6McffaVq78
Юлия Пучнина,JavaScript fwdays,russian,,2014,Жирная анимация с Pixi js,,https://youtu.be/Q5tf38DATBM
Максим Климишин,JavaScript fwdays,russian,,2014,Как бежать быстрее с react js,,https://youtu.be/ZOeo7jXSaXE
Андрей Листочкин,JavaScript fwdays,russian,,2014,Ember js: ответ на почти все вопросы,,https://youtu.be/cXb1aFczAbo
Анна Хабибуллина,JavaScript fwdays,russian,,2014,В поисках качества JavaScript кода,,https://youtu.be/edOIMiQFZ2w
Александр Соловьев,JavaScript fwdays,russian,,2014,Как писать UI без боли,,https://youtu.be/l4mmMsAVjzk
Андрей Листочкин,JavaScript fwdays,russian,,2015,Frameworks in 2015,,https://youtu.be/AKUH31PgJog
Jan Jongboom,JavaScript fwdays,english,,2015,Fun with JavaScript and sensors,,https://youtu.be/2GmI6AFk_RQ
Алексей Коваленко,JavaScript fwdays,russian,,2015,Немного о функциональном программирование в JavaScript,,https://youtu.be/P3oKH1ylecI
Юлия Пучнина,JavaScript fwdays,russian,,2015,Использование компонентной архитектуры в веб-приложениях,,https://youtu.be/fwlNqJudtHk
Андрей Шумада,JavaScript fwdays,ukranian,,2015,How to deploy to production 10 times a day,,https://youtu.be/rHyH2O-BVe4
Виктор Зозуляк,JavaScript fwdays,ukranian,,2015,Unit testing in AngularJS,,https://youtu.be/zXxlvrVDkcg
Евгений Жарков,JavaScript fwdays,russian,,2015,Angular 2: Всех переиграл,,https://youtu.be/9xGGxjdvGiI
